,identificacion,name,nombre,cantidad,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
146,E-5,Sodium sulfate,Sulfato de Sodio,0.1,Anedra,7757-82-6,electrolitos_buffers,True,True,,
147,E-5,Sodium sulfate,Sulfato de Sodio,0.05,Merck,7757-82-6,electrolitos_buffers,True,True,,
148,E-6,Potassium chloride,Cloruro de Potasio,1,Biopack,7447-40-7,electrolitos_buffers,False,True,,
149,E-7,Potassium nitrate,Nitrato de Potasio,1,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,,
150,E-7,Potassium nitrate,Nitrato de Potasio,0.5,Merck,7757-79-1,electrolitos_buffers,False,True,,
151,E-7,Potassium nitrate,Nitrato de Potasio,1,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,,
152,E-7,Potassium nitrate,Nitrato de Potasio,1,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,,
153,E-8,Sodium chloride,Cloruro de Sodio,1,Merck,7647-14-5,electrolitos_buffers,False,True,,
154,E-9,Sodium phosphate dibasic ,Fosfato de Sodio dibsico,0.5,J.T. Baker,7558-79-4,electrolitos_buffers,False,True,,
155,E-10,Sodium phosphate monobasic,Fosfato de Potasio monobsico,0.5,Anedra,7558-80-7,electrolitos_buffers,False,True,,
156,E-11,Edetate disodium (EDTA disodium salt),Etilendiamina tetraacetato de Sodio (EDTA),0.5,Mallinckrodt,6381-92-6,electrolitos_buffers,False,True,,
157,E-12,Ammonium acetate,Acetato de Amonio,1,Cicarelli,631-61-8,electrolitos_buffers,False,True,,
158,E-13,Boric acid,cido Brico,1,Merck,10043-35-3,electrolitos_buffers,False,True,,
159,E-14,Silicic acid,cido Silcico,0.5,Mallinckrodt,1343-98-2,electrolitos_buffers,False,True,,
160,E-15,Oxalic acid,cido Oxlico,0.5,Carlo Erba,144-62-7,electrolitos_buffers,False,True,,
161,E-16,Potassium hydrogen phthalate,Biftalato de Potasio,0.25,Merck,877-24-7,electrolitos_buffers,False,True,,
162,E-16,Potassium hydrogen phthalate,Biftalato de Potasio,0.1,Fluka,877-24-7,electrolitos_buffers,False,True,,
163,E-17,Lithium perchlorate,Perclorato de Litio,0.25,Merck,7791-03-09,electrolitos_buffers,False,True,,
164,E-17,Lithium perchlorate,Perclorato de Litio,0.5,Fluka,7791-03-09,electrolitos_buffers,False,True,,
165,E-18,Sodium perchlorate monohydrate,Perclorato de Sodio monohidratado,1,Fluka,7791-07-03,electrolitos_buffers,False,True,,
166,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,0.5,Merck,14459-95-1,electrolitos_buffers,False,True,,
167,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,0.5,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,,
168,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,0.5,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,,
169,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,1,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,,
170,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,0.1,Carlo Erba,14459-95-1,electrolitos_buffers,False,True,,
171,E-20,Potassium ferricyanide(III),Ferricianuro de Potasio,0.1,Fluka,13746-66-2,electrolitos_buffers,False,True,,
172,E-20,Potassium ferricyanide(III),Ferricianuro de Potasio,0.1,Merck,13746-66-2,electrolitos_buffers,False,True,,
173,E-21,Tetrabutylammonium hexafluorophosphate,Hexafluorofosfato de terbutilamonio,0.1,Aldrich,3109-63-5,electrolitos_buffers,False,True,,
174,E-21,Tetrabutylammonium hexafluorophosphate,Hexafluorofosfato de terbutilamonio,0.1,Aldrich,3109-63-5,electrolitos_buffers,False,True,,
175,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,0.05,Fluka,661-36-9,electrolitos_buffers,False,True,,
176,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,0.05,Fluka,661-36-9,electrolitos_buffers,False,True,,
177,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,0.1,Aldrich,661-36-9,electrolitos_buffers,False,True,,
178,E-23,Tetramethylammonium hexafluorophosphate,Hexafluorofosfato de tetrametilamonio,0.025,Aldrich,558-32-7,electrolitos_buffers,False,True,,
179,E-24,Tetramethylammonium bromide,Bromuro de tetrametilamonio,0.5,Eastman,64-20-0,electrolitos_buffers,False,True,,
180,E-25,Tetraethylammonium perchlorate,Perclorato de tetraetilamonio,0.025,Carlo Erba,2567-83-1,electrolitos_buffers,False,True,,
181,E-25,Tetraethylammonium perchlorate,Perclorato de tetraetilamonio,0.1,Eastman,2567-83-1,electrolitos_buffers,False,True,,
182,E-26,Sodium tetraborate decahydrate,Borato de Sodio,0.5,Mallinckrodt,1303-96-4,electrolitos_buffers,False,True,,
183,E-27,Potassium perchlorate,Perclorato de Potasio,0.25,Carlo Erba,7778-74-7,electrolitos_buffers,False,True,,
184,E-27,Potassium perchlorate,Perclorato de Potasio,0.25,C&B,7778-74-7,electrolitos_buffers,False,True,,
185,E-28,Lithium nitrate,Nitrato de Litio,0.25,Fluka,7790-69-4,electrolitos_buffers,False,True,,
186,E-29,Ammonium fluoride,Fluoruro de Amonio,0.1,Anedra,,electrolitos_buffers,False,True,,
187,E-30,Potassium hexafluorophosphate,Hexafluorofosfato de Potasio,0.5,Ozark,17084-13-8,electrolitos_buffers,False,True,,
188,E-40,potassium phosphate monobasic,Fosfato monobsico de potasio,0.2,Mallinckrodt,,electrolitos_buffers,False,True,,
189,E-40,potassium phosphate monobasic,Fosfato monobsico de potasio,1,Merck,,electrolitos_buffers,False,True,,
190,E-41,Tetraethylammonium chloride,Cloruro de tetraetilamonio,0.01,BDH,56-34-8,electrolitos_buffers,False,True,,
191,Ar-1,Benzoic acid,cido Benzoico,100 gr,Anedra,65-85-0,aromaticos,False,True,100.0,gr
192,Ar-1,Benzoic acid,cido Benzoico,500 gr,Aldrich,65-85-0,aromaticos,False,True,500.0,gr
193,Ar-2,"""2,4-Dinitrophenol""","""2,4-Dinitrofenol""",10 gr,Ratto,51-28-5,aromaticos,False,True,10.0,gr
194,Ar-3,Quinhydrone,Quinhidrona,100 gr,Merck,106-34-3,aromaticos,False,True,100.0,gr
195,Ar-3,Quinhydrone,Quinhidrona,100 gr,Merck,106-34-3,aromaticos,False,True,100.0,gr
196,Ar-4,Trifluoroacetic acid,cido Trifluoroactico,100 mL,Fluka,76-05-1,aromaticos,False,True,100.0,mL
197,Ar-5,Methanesulfonic acid,cido Metansulfnico,100 mL,Fluka,75-75-2,aromaticos,False,True,100.0,mL
198,Ar-6,4-Nitroaniline,4-Nitroanilina,50 gr,Merck,0100-01-06,aromaticos,False,True,50.0,gr
199,Ar-7,4-Amino-3-hydroxy-1-naphthalenesulfonic acid,cido 1-amino-2-naftol-4-sulfnico,50 gr,(Desconocido),116-63-2,aromaticos,False,True,50.0,gr
200,Ar-8,Hexamethylbenzene,Hexametilbenceno,50 gr,Fluka,87-85-4,aromaticos,False,True,50.0,gr
201,Ar-9,2-Aminophenol,2-aminofenol,25 gr,Fluka,95-55-6,aromaticos,False,True,25.0,gr
202,Ar-9,2-Aminophenol,2-aminofenol,25 gr,Fluka,95-55-6,aromaticos,False,True,25.0,gr
203,Ar-10,o-Anisidine,O-anisidina,250 mL,Fluka,90-04-0,aromaticos,False,True,250.0,mL
204,Ar-10,o-Anisidine,O-anisidina,250 mL,Fluka,90-04-0,aromaticos,False,True,250.0,mL
205,Ar-11,o-Toluidine,O-Toluidina,10 gr,Mallinckrodt,95-53-4,aromaticos,False,True,10.0,gr
206,Ar-11,o-Toluidine,O-Toluidina,100 mL,Fluka,95-53-4,aromaticos,False,True,100.0,mL
207,Ar-11,o-Toluidine,O-Toluidina,100 mL,UCB,95-53-4,aromaticos,False,True,100.0,mL
208,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,25 gr,Anedra,59-88-1,aromaticos,False,True,25.0,gr
209,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,25 gr,Anedra,59-88-1,aromaticos,False,True,25.0,gr
210,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,25 gr,Anedra,59-88-1,aromaticos,False,True,25.0,gr
211,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,25 gr,Anedra,59-88-1,aromaticos,False,True,25.0,gr
212,Ar-13,o-Phenylenediamine,O-fenilendiamina,50 gr,ICN,95-54-5,aromaticos,False,True,50.0,gr
213,Ar-14,"""4,4?-Ethylenedianiline""",4-4'-diamino-bibencilo,10 gr,Fluka,621-95-4,aromaticos,False,True,10.0,gr
214,Ar-15,Triphenylmethanol,Trifenil-metanol,10 gr,Fluka,76-84-6,aromaticos,False,True,10.0,gr
